Gene_ID,Gene_Name,zygote,cleavage_2_cell,blastula_128_cell,blastula_1k_cell,blastula_dome,gastrula_50__epiboly,gastrula_shield,gastrula_75__epiboly,segmentation_1_4_somites,segmentation_14_19_somites,segmentation_20_25_somites,pharyngula_prim_5,pharyngula_prim_15,pharyngula_prim_25,hatching_long_pec,larval_protruding_mouth,larval_day_4,larval_day_5
ENSDARG00000075614,apoc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5
ENSDARG00000060345,apoda.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,17,42,30,27
ENSDARG00000060350,apoda.2,47,15,25,36,28,15,9,6,0.7,0.3,NA,NA,NA,NA,0.8,22,91,143
ENSDARG00000057437,apodb,NA,NA,NA,0.4,0.4,3,1,2,10,15,21,13,17,14,15,33,31,32
ENSDARG00000102004,apoea,NA,NA,NA,NA,NA,NA,NA,NA,1,2,11,35,95,48,240,224,173,204
ENSDARG00000040295,apoeb,0.4,2,0.8,3,322,1416,2056,2504,1353,816,841,1325,1123,319,449,219,341,262
ENSDARG00000090980,apof,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,0.3,2,2,4,6,13,12,11
ENSDARG00000007425,apol1,NA,NA,NA,NA,0.5,0.3,0.6,NA,0.6,0.7,1,2,2,3,4,5,6,6
ENSDARG00000076838,apom,0.5,0.8,NA,0.5,0.5,NA,NA,NA,4,5,12,63,61,17,79,142,120,65
ENSDARG00000104696,apooa,0.4,2,3,4,6,5,1,1,7,6,9,11,11,12,13,19,16,9
ENSDARG00000026444,apoob,NA,NA,0.3,0.3,NA,1,1,4,5,6,6,5,4,6,5,6,5,6
ENSDARG00000039374,apool,12,32,42,49,48,21,18,16,14,17,20,18,18,21,14,18,17,17
ENSDARG00000104279,appa,0.3,0.5,3,0.4,2,7,12,15,25,30,33,34,36,45,50,63,59,62
ENSDARG00000055543,appb,0.7,3,2,4,1,0.4,0.1,0.5,7,10,13,18,22,33,36,53,54,56
ENSDARG00000007566,appbp2,14,21,29,43,34,20,18,19,17,13,15,12,12,15,15,16,16,15
ENSDARG00000078139,appl2,1.5,2,5.5,8,3.5,1.9,2.4,3.5,6,5,5.5,5,5,5.5,4.5,4.5,5,4.5
ENSDARG00000003519,aprt,0.3,1,3,3,5,6,4,5,11,11,13,10,7,8,6,7,8,7
ENSDARG00000027143,aptx,0.3,0.9,5,4,6,10,15,22,24,20,20,13,10,9,5,5,4,4
ENSDARG00000007086,aqp10a,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,0.3,NA,0.7,NA,0.3,1,6,6
ENSDARG00000058678,aqp10b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,2,2
ENSDARG00000100555,aqp11,NA,NA,NA,NA,0.2,2,2,3,5,5,8,9,7,5,7,10,9,5
ENSDARG00000043279,aqp12,NA,NA,NA,NA,NA,NA,NA,2,10,9,16,35,33,9,19,20,38,30
ENSDARG00000023713,aqp1a.1,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,4,20,43,30,44,56,45,38
ENSDARG00000003808,aqp3a,NA,NA,0.2,NA,2,13,12,11,1,0.2,3,28,67,32,72,85,101,91
ENSDARG00000069518,aqp3b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.6
ENSDARG00000010565,aqp4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1,0.9,0.8,0.3,0.9,0.7
